text,expected_emotion,llm_predict
This upgrade looks brilliant,EXCITED,EXCITED
This package looks brilliant,EXCITED,EXCITED
What a brilliant package,EXCITED,EXCITED
What a beautiful offer,EXCITED,SATISFIED
Wow I love this option,EXCITED,EXCITED
This package looks amazing,EXCITED,EXCITED
We would love your best offer,EXCITED,INTERESTED
This room looks fantastic,EXCITED,EXCITED
This package looks perfect,EXCITED,SATISFIED
I am seriously excited about this trip,EXCITED,EXCITED
This deal looks wonderful,EXCITED,EXCITED
What a perfect deal,EXCITED,EXCITED
This room looks perfect,EXCITED,SATISFIED
What a beautiful deal,EXCITED,EXCITED
We would love this upgrade,EXCITED,EXCITED
This package looks incredible,EXCITED,EXCITED
This is amazing for our trip,EXCITED,EXCITED
What a great offer,EXCITED,SATISFIED
We would love the sea-view room,EXCITED,INTERESTED
This deal looks amazing,EXCITED,EXCITED
This made my day honestly,EXCITED,EXCITED
What a beautiful upgrade,EXCITED,EXCITED
I am ready to book,EXCITED,SATISFIED
I am eager to confirm,EXCITED,EXCITED
This package looks wonderful,EXCITED,INTERESTED
That sounds exciting right now,EXCITED,EXCITED
What a brilliant upgrade,EXCITED,EXCITED
That sounds magical right now,EXCITED,EXCITED
This is such good news,EXCITED,EXCITED
This upgrade looks incredible,EXCITED,EXCITED
What a fantastic package,EXCITED,EXCITED
I cannot wait to finalize this,EXCITED,EXCITED
What a dream room,EXCITED,EXCITED
What a dream package,EXCITED,EXCITED
This upgrade looks wonderful,EXCITED,EXCITED
That package is incredible,EXCITED,EXCITED
We would love that weekend deal,EXCITED,EXCITED
What a beautiful room,EXCITED,SATISFIED
This room looks brilliant,EXCITED,EXCITED
What a brilliant room,EXCITED,EXCITED
I am seriously excited about booking now,EXCITED,EXCITED
This deal looks fantastic,EXCITED,EXCITED
This room looks incredible,EXCITED,EXCITED
What a dream deal,EXCITED,EXCITED
I would happily book that room,EXCITED,SATISFIED
This is fantastic for our trip,EXCITED,EXCITED
This is perfect for our trip,EXCITED,SATISFIED
What a perfect offer,EXCITED,SATISFIED
What a fantastic deal,EXCITED,EXCITED
